id,enigme,reponse,alternatives,indice_1,indice_2,indice_3,categorie,difficulte
1,"Je grandis quand on me coupe, et plus on m'entretient, plus je reviens. Que suis-je ?",les cheveux,cheveu|cheveux,On me trouve sur la tête.,Le coiffeur s'occupe de moi.,On me lave avec du shampoing.,Corps,1
2,"Plus j'en enlève, plus je deviens grand. Que suis-je ?",un trou,trou,Je suis un vide.,On me creuse avec une pelle.,Je peux être dans une chaussette ou dans le sol.,Logique,2
3,"Je n'ai pas de bouche, pourtant je répète tout ce que tu dis. Que suis-je ?",l'écho,echo,On me rencontre en montagne.,Je suis un phénomène sonore.,Crie dans une grotte et tu me trouveras.,Nature,1
4,"Je suis toujours devant toi, mais tu ne me verras jamais. Que suis-je ?",l'avenir,avenir|le futur|futur|demain,Je n'existe pas encore.,Je suis une notion de temps.,"Hier est derrière, je suis l'inverse.",Temps,2
5,J'ai des dents mais je ne mords jamais. Que suis-je ?,un peigne,peigne,Je suis un objet du quotidien.,Je tiens dans une poche.,Je sers à démêler.,Objets,1
6,"J'ai un cou mais pas de tête, et je suis souvent pleine. Que suis-je ?",une bouteille,bouteille,Je suis en verre ou en plastique.,On me débouche.,On me trouve sur la table du repas.,Objets,1
7,Je vole sans ailes et je pleure sans yeux. Que suis-je ?,un nuage,nuage|le nuage|les nuages,Je suis dans le ciel.,Je change de forme sans arrêt.,"Quand je pleure, on sort le parapluie.",Nature,2
8,"Je suis noir quand je suis propre, et blanc quand je suis sale. Que suis-je ?",un tableau,tableau|tableau noir,On me trouve dans une salle de classe.,On écrit sur moi.,La craie me salit.,Objets,2
9,Je me casse dès qu'on prononce mon nom. Que suis-je ?,le silence,silence,Je ne fais aucun bruit.,Je règne dans une bibliothèque.,Parler me détruit.,Logique,3
10,"Il m'appartient, pourtant ce sont les autres qui s'en servent le plus. Qu'est-ce que c'est ?",mon prénom,prenom|mon prenom|le prenom|mon nom|nom,Je le porte depuis ma naissance.,Il est écrit sur mes papiers.,On l'utilise pour m'appeler.,Logique,3
11,"Je marche à quatre pattes le matin, sur deux à midi et sur trois le soir. Que suis-je ?",l'homme,homme|etre humain|l humain|humain|l homme,Une journée représente ici toute une vie.,Le bébé rampe.,Le vieillard s'aide d'une canne.,Logique,3
12,"J'ai des villes sans maisons, des forêts sans arbres et de l'eau sans poissons. Que suis-je ?",une carte,carte|une carte geographique|carte geographique|la carte,On me déplie.,Je représente le monde en petit.,On m'utilise pour ne pas se perdre.,Objets,3
13,Je suis toujours affamé et il faut sans cesse me nourrir. Le doigt qui me touche devient rouge. Que suis-je ?,le feu,feu|un feu,Je donne de la lumière et de la chaleur.,Le bois est mon repas préféré.,Les pompiers me combattent.,Nature,2
14,"Plus je sèche, plus je deviens humide. Que suis-je ?",une serviette,serviette|la serviette|une serviette de bain,Je suis en tissu éponge.,Je sers après la douche.,Mon travail consiste à absorber.,Objets,2
15,"J'ai une tête et un pied, mais aucun bras. Que suis-je ?",un lit,lit|le lit,Je suis un meuble.,Je suis dans une chambre.,On passe un tiers de sa vie sur moi.,Objets,2
16,Je passe devant le soleil sans jamais faire d'ombre. Que suis-je ?,le vent,vent|le vent,On me sent sans me voir.,Je fais tourner les éoliennes.,Je souffle.,Nature,2
17,Combien de fois peut-on soustraire 5 de 25 ?,une seule fois,1|une fois|une seule|1 fois|qu une fois|une seule fois car apres ce n est plus 25,"Attention au piège, ce n'est pas 5.","Après la première soustraction, le nombre a changé.","Une fois qu'on a retiré 5 de 25, on ne soustrait plus de 25 mais de 20.",Logique,4
18,"Un escargot est au fond d'un puits de 10 mètres. Chaque jour il monte de 3 mètres, chaque nuit il glisse de 2. En combien de jours atteint-il le sommet ?",8 jours,8|huit|huit jours|8 jour,Il progresse d'un mètre net par journée complète.,"Le dernier jour, il n'a pas besoin de redescendre.","Après 7 jours il est à 7 mètres, et le 8e jour il monte les 3 derniers.",Logique,4
19,Je commence la nuit et je termine le matin. Que suis-je ?,la lettre n,n|la lettre n|lettre n,"Regarde les mots eux-mêmes, pas leur sens.",Observe la première lettre de « nuit ».,Et la dernière lettre de « matin ».,Mots,3
20,Qu'y a-t-il au beau milieu de Paris ?,la lettre r,r|la lettre r|lettre r,Ce n'est pas un monument.,Compte les lettres du mot.,P-A-R-I-S : celle du centre.,Mots,2
21,Je monte quand la pluie descend. Que suis-je ?,un parapluie,parapluie|le parapluie,Je suis un objet.,Je me déplie.,Je protège de l'averse.,Objets,1
22,Je me remplis d'un côté à mesure que je me vide de l'autre. Que suis-je ?,un sablier,sablier|le sablier,Je mesure quelque chose.,Je contiens du sable.,On me retourne quand j'ai fini.,Objets,3
23,Je traverse toute la ville sans jamais bouger. Que suis-je ?,une route,route|la route|la rue|rue|la voie,Je suis faite de goudron.,Les voitures m'empruntent.,Je vais d'un quartier à l'autre.,Objets,2
24,Deux pères et deux fils partent pêcher. Ils attrapent trois poissons et chacun en rapporte un. Comment est-ce possible ?,ils sont trois,trois|3|un grand pere un pere et un fils|grand pere pere fils|3 personnes|le pere est aussi un fils,Personne n'a partagé son poisson.,Une même personne peut avoir deux rôles.,Le père du milieu est à la fois fils et père.,Logique,4
25,"Une mère a quatre filles, et chaque fille a un frère. Combien la mère a-t-elle d'enfants ?",cinq,5|5 enfants|cinq enfants|quatre filles et un garcon,Le frère est le même pour toutes.,Il n'y a qu'un seul garçon.,Quatre filles plus un garçon.,Logique,3
26,"Un homme regarde un portrait et dit : « Je n'ai ni frère ni sœur, mais le père de cet homme est le fils de mon père. » Qui voit-il ?",son fils,fils|son fils|le fils,"« Le fils de mon père », c'est lui-même, puisqu'il est enfant unique.",Donc il est le père de l'homme du portrait.,Le portrait représente son enfant.,Logique,5
27,J'ai des feuilles mais aucune branche. Que suis-je ?,un livre,livre|le livre|un roman,Je ne pousse pas dans la forêt.,On me trouve dans une bibliothèque.,On me tourne page après page.,Objets,1
28,J'ai des touches mais aucune serrure. Que suis-je ?,un piano,piano|le piano|un clavier|clavier,Je fais du bruit quand on m'utilise.,J'ai des touches noires et blanches.,Je suis un instrument de musique.,Objets,2
29,J'ai un œil mais je ne vois rien. Que suis-je ?,une aiguille,aiguille|l aiguille|une aiguille a coudre,Je suis très fine.,On me perd facilement dans une botte de foin.,Le fil passe par mon œil.,Objets,2
30,"J'ai des bras mais pas de mains, et on s'assoit sur moi. Que suis-je ?",un fauteuil,fauteuil|le fauteuil,Je suis un meuble.,Je suis plus confortable qu'une chaise.,Mes bras sont des accoudoirs.,Objets,1
31,J'ai des aiguilles mais je ne pique jamais. Que suis-je ?,une horloge,horloge|l horloge|une pendule|pendule|une montre|montre,Je suis accrochée au mur.,Je fais tic-tac.,Mes aiguilles tournent.,Objets,1
32,"Plus je suis chaud, plus je suis frais. Que suis-je ?",le pain,pain|du pain|le pain frais,On me trouve à la boulangerie.,Je sors du four.,On dit de moi que je suis « frais » quand je vient d'être cuit.,Nourriture,3
33,J'ai une langue mais je ne parle jamais. Que suis-je ?,une chaussure,chaussure|la chaussure|un soulier|soulier,Je vais toujours par paire.,On me lace.,Ma langue est sous les lacets.,Objets,2
34,Un train électrique roule vers le nord et le vent souffle vers le sud. Dans quelle direction va la fumée ?,il n'y a pas de fumée,pas de fumee|aucune fumee|il n y en a pas|le train est electrique|c est electrique|il n y a pas de fumee,Relis bien la description du train.,Un détail change tout.,Un train électrique ne produit pas de fumée.,Logique,4
35,"Le pauvre en a, le riche en a besoin, et si on en mange on meurt. Qu'est-ce que c'est ?",rien,rien|le rien,Ce n'est pas un objet.,Le pauvre n'a rien.,Le riche n'a besoin de rien.,Logique,4
36,"Je viens une fois dans une minute, deux fois dans un moment, mais jamais en cent ans. Que suis-je ?",la lettre m,m|la lettre m|lettre m,"Compte les lettres, pas le temps.",« Minute » en contient une.,« Moment » en contient deux.,Mots,4
37,"Je nais grande et je meurs petite. Plus je vis, plus je rétrécis. Que suis-je ?",une bougie,bougie|la bougie|une chandelle|chandelle,Je donne de la lumière.,J'ai une mèche.,On me souffle sur un gâteau.,Objets,2
38,Combien de mois de l'année comptent 28 jours ?,tous,douze|12|tous les mois|les douze|chaque mois,Ne pense pas seulement à février.,Chaque mois passe par le 28.,Tous les mois ont au moins 28 jours.,Logique,3
39,Un berger possède 17 moutons. Tous meurent sauf 9. Combien lui en reste-t-il ?,neuf,9|neuf moutons|9 moutons,La question est plus simple qu'elle en a l'air.,« Tous sauf 9 » signifie que 9 survivent.,Il en reste 9.,Logique,2
40,"Je suis toujours en retard, pourtant j'arrive chaque jour. Que suis-je ?",demain,demain|le lendemain|lendemain,Je suis une notion de temps.,On me promet souvent des choses.,"Quand j'arrive, je suis devenu aujourd'hui.",Temps,4
41,"J'ai une bouche mais je ne mange jamais, et je cours sans jambes. Que suis-je ?",une rivière,riviere|la riviere|un fleuve|fleuve|le fleuve,Je suis dans la nature.,Je vais vers la mer.,Mon embouchure est ma bouche.,Nature,3
42,Qu'est-ce qui court tout autour du jardin sans jamais bouger ?,une clôture,cloture|la cloture|un mur|mur|la barriere|barriere|une haie|haie,Je délimite un espace.,Je peux être en bois ou en grillage.,J'entoure la propriété.,Objets,3
43,"Je monte et je descends, mais je reste toujours à la même place. Que suis-je ?",un escalier,escalier|l escalier|les escaliers|des escaliers,Je suis dans une maison.,J'ai des marches.,On me monte et on me descend.,Objets,2
44,Combien d'animaux de chaque espèce Moïse a-t-il fait entrer dans l'arche ?,aucun,zero|0|c etait noe|noe|aucun c est noe|pas moise,Relis attentivement la question.,Le nom cité n'est pas le bon.,"L'arche, c'est Noé, pas Moïse.",Logique,3
45,"Je suis plus léger qu'une plume, pourtant personne ne peut me retenir bien longtemps. Que suis-je ?",le souffle,souffle|la respiration|respiration|l air|mon souffle,Tu me produis sans y penser.,Je vais et je viens sans arrêt.,Retiens-moi et tu manqueras d'air.,Corps,4
46,Qu'est-ce qui se trouve au début de la fin et à la fin de l'infini ?,la lettre f,f|la lettre f|lettre f,"Ce n'est pas une idée, c'est un caractère.",Observe le mot « fin ».,"Première lettre de « fin », dernière de « infinitif »… ou plutôt cherche dans « fin » elle-même.",Mots,4
47,"Un homme pousse sa voiture, s'arrête devant un hôtel et comprend qu'il est ruiné. Que se passe-t-il ?",il joue au monopoly,monopoly|monopoli|un jeu de societe|jeu de societe|au monopoly,Ce n'est pas une vraie voiture.,Il s'agit d'un jeu.,"La voiture est un pion, l'hôtel appartient à un adversaire.",Logique,5
48,"On me prend avant de me donner, et je ne coûte rien. Que suis-je ?",la parole,parole|la parole|le temps|temps,On me « prend » puis on me « donne » lors d'une discussion.,"Dans une réunion, on me demande.",Prendre la… puis donner la…,Mots,5
49,Je tourne sans arrêt mais je ne quitte jamais ma place. Que suis-je ?,la terre,terre|la terre|la planete terre|le globe,Je suis immense.,Tu es dessus en ce moment.,Je fais un tour sur moi-même en 24 heures.,Nature,3
50,Qu'est-ce qui tombe sans jamais se faire mal ?,la nuit,la nuit|nuit|la pluie|pluie|la neige|neige,On dit que je « tombe » chaque soir.,Je remplace le jour.,La nuit tombe.,Temps,3
51,J'ai des mailles mais je ne suis pas un pull. Que suis-je ?,un filet,filet|le filet|un filet de peche,On m'utilise pour attraper.,Le pêcheur me lance.,Le poisson s'y prend.,Objets,3
52,"Deux enfants naissent le même jour, de la même mère, à la même heure, et pourtant ils ne sont pas jumeaux. Comment ?",ce sont des triplés,triples|triplets|trois enfants|un troisieme enfant|il y a un troisieme|ils sont trois,Il manque une information dans l'énoncé.,Ils ne sont que deux à être mentionnés.,Il existe un troisième enfant : ce sont des triplés.,Logique,4
53,"Qu'est-ce qui appartient à la nuit mais disparaît au matin, sans jamais avoir existé ?",un rêve,reve|un reve|le reve|les reves|reves,Cela se passe dans la tête.,On m'oublie souvent au réveil.,Je survient pendant le sommeil.,Logique,3
54,"Je suis un objet du quotidien : plus on m'utilise, plus je deviens court. Que suis-je ?",un crayon,crayon|le crayon|un crayon a papier|une gomme|gomme,On m'utilise pour écrire ou dessiner.,On me taille.,Chaque taille me raccourcit.,Objets,2
55,Qu'est-ce qui a un fond mais jamais de sommet ?,un puits,puits|le puits|une casserole|casserole|un trou|trou,On y descend un seau.,On y jette des pièces en faisant un vœu.,"Le fond est tout en bas, l'ouverture n'est pas un sommet.",Objets,4
56,Je peux remplir une pièce entière sans prendre la moindre place. Que suis-je ?,la lumière,lumiere|la lumiere|de la lumiere|le son|son|l air|air,J'arrive quand on appuie sur un interrupteur.,Je voyage très vite.,"Sans moi, tout est noir.",Nature,3
57,Qu'est-ce qui devient plus grand à mesure qu'on le partage ?,le bonheur,bonheur|le bonheur|la joie|joie|le savoir|savoir|la connaissance,Ce n'est pas un objet matériel.,Le partager ne le diminue pas.,On dit qu'il est plus grand quand il est partagé.,Logique,4
58,"Je n'ai ni début ni fin, et je reviens sans cesse au même point. Que suis-je ?",un cercle,cercle|le cercle|un rond|rond|une boucle|boucle|un anneau,Je suis une forme géométrique.,On me trace au compas.,Chaque point de moi est à égale distance du centre.,Logique,3
59,Quel objet vous appartient mais que vous ne portez jamais vous-même ?,une alliance,une alliance|alliance|un cercueil|cercueil|votre ombre|ombre|l ombre,On la porte au doigt… mais pas toujours par soi-même.,Elle se passe au moment du mariage.,C'est l'autre qui vous la passe au doigt.,Objets,5
60,"Je précède toujours le tonnerre, pourtant j'arrive après lui. Que suis-je ?",l'éclair,eclair|l eclair|la foudre|foudre,Je viens de l'orage.,"Je suis visible, lui est audible.","On me voit avant d'entendre le tonnerre, alors qu'ils naissent ensemble.",Nature,4
61,"On me jette quand on veut m'utiliser, et on me reprend quand on n'en a plus besoin. Que suis-je ?",une ancre,ancre|une ancre|l ancre|un hamecon|hamecon,Je suis très lourde.,J'appartiens au monde des bateaux.,On me jette à l'eau pour rester en place.,Objets,5
62,Je suis facile à soulever mais impossible à lancer loin. Que suis-je ?,une plume,plume|une plume|la plume|un duvet,Je suis extrêmement légère.,Je viens d'un oiseau.,"Justement, ma légèreté m'empêche d'aller loin.",Nature,4
63,Deux mères et deux filles vont au restaurant. Elles commandent trois plats et chacune est servie. Comment ?,elles sont trois,trois|3|une grand mere une mere et une fille|grand mere mere fille|3 personnes,Chacune a bien reçu son plat.,Une personne peut occuper deux rôles.,"La grand-mère, la mère et la fille.",Logique,4
64,"Qu'est-ce qui a des pages mais n'est pas un livre, et de la mémoire sans avoir de cerveau ?",un ordinateur,ordinateur|un ordinateur|l ordinateur|un telephone|telephone|un site internet,Je fonctionne à l'électricité.,J'ai un écran et un clavier.,"Mes pages sont des pages web, ma mémoire est de la RAM.",Objets,4
65,"Je suis pris et repris, mais on ne me tient jamais dans la main. Que suis-je ?",le chemin,chemin|le chemin|la route|route|un chemin,On me « prend » pour aller quelque part.,On peut me reprendre au retour.,Prendre le… puis reprendre le…,Logique,5
66,"Qu'est-ce qui est invisible, ne pèse rien, et pourtant peut faire tomber un arbre ?",le vent,vent|le vent|une tempete|tempete,On me sent sur la peau.,Je fais bouger les feuilles.,"Quand je souffle très fort, on m'appelle tempête.",Nature,2
67,"Je suis toujours devant, jamais derrière, et pourtant je te suis partout. Que suis-je ?",ton ombre,ombre|l ombre|ton ombre|mon ombre|une ombre,Je dépends du soleil.,Je change de taille selon l'heure.,Je suis ta silhouette projetée au sol.,Nature,3
68,Quel est le seul mot qui devient plus court lorsqu'on lui ajoute deux lettres ?,court,court|le mot court|plus court,"Réfléchis au mot lui-même, pas à sa longueur.",Ajoute deux lettres devant.,« Court » devient « plus court ».,Mots,5
69,On peut me casser sans me toucher et sans jamais me voir. Que suis-je ?,une promesse,promesse|une promesse|la promesse|un silence|silence|le silence|un record|record,Je n'existe que par la parole.,"On me fait, puis on me tient… ou non.","Ne pas tenir sa parole, c'est me briser.",Logique,4
70,"Qu'est-ce qui a des racines que personne ne voit, et qui est plus grand que les arbres ?",une montagne,montagne|la montagne|une montagne|les montagnes,Je suis immense et immobile.,On me gravit.,Mon sommet dépasse la forêt.,Nature,4
71,Je peux voyager autour du monde en restant dans un coin. Que suis-je ?,un timbre,timbre|le timbre|un timbre poste,Je suis tout petit.,Je coûte quelques centimes.,Je suis collé dans le coin d'une enveloppe.,Objets,5
